GEO_ID,Name,Population,Margin_Of_Error
1500000US060855033121,Block Group 1; Census Tract 5033.12; Santa Clara County; California,612,256
1500000US060855033122,Block Group 2; Census Tract 5033.12; Santa Clara County; California,1959,643
1500000US060855033123,Block Group 3; Census Tract 5033.12; Santa Clara County; California,937,437
1500000US060855033131,Block Group 1; Census Tract 5033.13; Santa Clara County; California,1654,535
1500000US060855033132,Block Group 2; Census Tract 5033.13; Santa Clara County; California,1513,395
1500000US060855033133,Block Group 3; Census Tract 5033.13; Santa Clara County; California,1476,345
1500000US060855033151,Block Group 1; Census Tract 5033.15; Santa Clara County; California,2308,602
1500000US060855033152,Block Group 2; Census Tract 5033.15; Santa Clara County; California,776,273
1500000US060855033153,Block Group 3; Census Tract 5033.15; Santa Clara County; California,3433,1073
1500000US060855033154,Block Group 4; Census Tract 5033.15; Santa Clara County; California,1671,528
1500000US060855033211,Block Group 1; Census Tract 5033.21; Santa Clara County; California,1808,410
1500000US060855033212,Block Group 2; Census Tract 5033.21; Santa Clara County; California,2632,575
1500000US060855033221,Block Group 1; Census Tract 5033.22; Santa Clara County; California,1673,688
1500000US060855033222,Block Group 2; Census Tract 5033.22; Santa Clara County; California,1708,629
1500000US060855033223,Block Group 3; Census Tract 5033.22; Santa Clara County; California,1231,377
1500000US060855033231,Block Group 1; Census Tract 5033.23; Santa Clara County; California,1510,389
1500000US060855033232,Block Group 2; Census Tract 5033.23; Santa Clara County; California,2201,375
1500000US060855033241,Block Group 1; Census Tract 5033.24; Santa Clara County; California,1725,265
1500000US060855033242,Block Group 2; Census Tract 5033.24; Santa Clara County; California,1503,363
1500000US060855033251,Block Group 1; Census Tract 5033.25; Santa Clara County; California,2418,583
1500000US060855033252,Block Group 2; Census Tract 5033.25; Santa Clara County; California,1947,558
1500000US060855033261,Block Group 1; Census Tract 5033.26; Santa Clara County; California,2147,507
1500000US060855033262,Block Group 2; Census Tract 5033.26; Santa Clara County; California,2153,410
1500000US060855033263,Block Group 3; Census Tract 5033.26; Santa Clara County; California,2728,1184
1500000US060855033271,Block Group 1; Census Tract 5033.27; Santa Clara County; California,1548,454
1500000US060855033272,Block Group 2; Census Tract 5033.27; Santa Clara County; California,1639,456
1500000US060855033273,Block Group 3; Census Tract 5033.27; Santa Clara County; California,1223,325
1500000US060855033291,Block Group 1; Census Tract 5033.29; Santa Clara County; California,2105,409
