Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_WalkTime,Total_PublicTransitTime,Shape_Length
Block Group 3; Census Tract 5061.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,111,1,1,,,289.833,12187.555
Block Group 1; Census Tract 5070.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,112,1,1,,,214.833,18502.259
Block Group 1; Census Tract 5061.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,113,1,1,,,274.833,9952.752
Block Group 2; Census Tract 5061.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,114,1,1,,,274.833,9947.864
Block Group 1; Census Tract 5061.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,115,1,1,,,274.833,10816.667
Block Group 3; Census Tract 5061.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,116,1,1,,,289.833,12124.508
Block Group 4; Census Tract 5061.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,117,1,1,,,289.833,12224.356
Block Group 1; Census Tract 5062.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,118,1,1,,,274.833,12402.395
Block Group 2; Census Tract 5071; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,119,1,1,,,229.833,18211.695
Block Group 2; Census Tract 5062.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,120,1,1,,,259.833,12764.85
Block Group 3; Census Tract 5062.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,121,1,1,,,274.833,14316.288
Block Group 1; Census Tract 5062.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,122,1,1,,,274.833,11958.801
Block Group 2; Census Tract 5062.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,123,1,1,,,274.833,11310.784
Block Group 1; Census Tract 5078.05; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,124,1,1,,,289.833,20074.615
Block Group 2; Census Tract 5078.05; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,125,1,1,,,304.833,18977.214
Block Group 3; Census Tract 5078.05; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,126,1,1,,,304.833,17197.897
Block Group 3; Census Tract 5062.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,127,1,1,,,274.833,11795.804
Block Group 4; Census Tract 5062.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,128,1,1,,,274.833,12556.561
Block Group 1; Census Tract 5063.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,129,1,1,,,259.833,10053.778
Block Group 3; Census Tract 5063.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,130,1,1,,,259.833,9089.133
Block Group 4; Census Tract 5063.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,131,1,1,,,244.833,8379.389
Block Group 1; Census Tract 5063.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,132,1,1,,,244.833,9641.761
Block Group 4; Census Tract 5120.05; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,133,1,1,,,124.667,9685.593
Block Group 3; Census Tract 5084.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,134,1,1,,,274.833,17601.618
Block Group 1; Census Tract 5085.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,135,1,1,,,274.833,16749.57
Block Group 2; Census Tract 5085.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,136,1,1,,,289.833,15590.463
Block Group 3; Census Tract 5085.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,137,1,1,,,289.833,16413.661
Block Group 1; Census Tract 5085.05; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,138,1,1,,,289.833,14833.718
Block Group 2; Census Tract 5120.45; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,139,1,1,,,64.667,14562.233
Block Group 4; Census Tract 5120.45; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,140,1,1,,,79.667,15744.95
Block Group 1; Census Tract 5120.47; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,141,1,1,,,79.667,13363.649
Block Group 3; Census Tract 5120.47; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,142,1,1,,,79.667,14807.662
Block Group 2; Census Tract 5120.47; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,143,1,1,,,79.667,14170.247
Block Group 2; Census Tract 5085.05; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,144,1,1,,,289.833,14167.639
Block Group 3; Census Tract 5085.05; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,145,1,1,,,289.833,14502.467
Block Group 1; Census Tract 5085.08; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,146,1,1,,,289.833,14227.144
Block Group 1; Census Tract 5086.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,147,1,1,,,244.833,18025.18
Block Group 2; Census Tract 5086.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,148,1,1,,,244.833,18679.955
Block Group 1; Census Tract 5103; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,149,1,1,,,274.833,25801.388
Block Group 3; Census Tract 5086.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,150,1,1,,,244.833,18553.488
